distance,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,consume
28.0,26.0,21.5,12.0,0.0,0.0,0.0,0.0,5.0
12.0,30.0,21.5,13.0,0.0,0.0,0.0,0.0,4.2
11.2,38.0,21.5,15.0,0.0,0.0,0.0,0.0,5.5
12.9,36.0,21.5,14.0,0.0,0.0,0.0,0.0,3.9
18.5,46.0,21.5,15.0,0.0,0.0,0.0,0.0,4.5
8.3,50.0,21.5,10.0,0.0,0.0,0.0,0.0,6.4
7.8,43.0,21.5,11.0,0.0,0.0,0.0,0.0,4.4
12.3,40.0,21.5,6.0,0.0,0.0,0.0,0.0,5.0
4.9,26.0,21.5,4.0,0.0,0.0,0.0,0.0,6.4
11.9,30.0,21.5,9.0,0.0,0.0,0.0,0.0,5.3
12.4,42.0,21.5,4.0,0.0,0.0,0.0,0.0,5.6
11.8,38.0,21.5,0.0,0.0,0.0,0.0,0.0,4.6
12.3,59.0,21.5,10.0,0.0,0.0,0.0,0.0,5.9
24.7,58.0,21.5,12.0,0.0,0.0,0.0,0.0,5.1
12.4,46.0,21.5,11.0,0.0,0.0,0.0,0.0,4.7
17.3,24.0,21.5,5.0,0.0,0.0,0.0,0.0,5.1
33.4,36.0,21.5,3.0,0.0,0.0,0.0,0.0,5.6
11.8,32.0,21.5,3.0,0.0,0.0,0.0,0.0,5.1
25.9,39.0,21.5,8.0,0.0,0.0,0.0,0.0,4.9
11.8,40.0,21.5,4.0,0.0,0.0,0.0,0.0,4.7
25.3,32.0,21.5,3.0,0.0,0.0,0.0,0.0,5.5
14.2,38.0,21.5,1.0,0.0,0.0,0.0,0.0,5.9
17.9,37.0,21.5,1.0,0.0,0.0,0.0,0.0,5.7
11.8,36.0,21.5,1.0,0.0,0.0,0.0,0.0,4.7
12.3,62.0,21.5,6.0,0.0,0.0,0.0,0.0,5.9
12.4,57.0,21.5,9.0,0.0,0.0,0.0,0.0,4.1
18.4,21.0,22.5,2.0,0.0,0.0,0.0,0.0,5.7
